Team Score,Opp Score,Home/Away,Opponent,Team FG%,Opponent FG%,Team 3P%,Opponent 3P%,Team AST,Team TOV,Opponent AST,Opponent TOV,Team FGA,Team FTA,Opponent FGA,Opponent FTA,Team ORB,Opponent ORB,ORtg,DRtg,Ast_Tov_Team,Ast_Tov_Opp,Possession,Team,Opponent_num
111,112,1,MIN,0.389,0.458,0.265,0.25,18,13,24,8,90,35,83,37,12,6,102.20994475138123,103.13075506445671,1.3846153846153846,3.0,108.6,16,29
114,132,0,SAC,0.461,0.515,0.324,0.273,20,19,26,14,89,27,101,30,8,16,106.50472965082331,123.32126591147964,1.0526315789473684,1.8571428571428568,107.0375,16,27
93,103,1,DAL,0.365,0.46,0.294,0.3670000000000001,18,12,28,11,85,28,87,16,8,8,93.9868620515412,104.09297625063164,1.5,2.5454545454545454,98.95,16,22
109,120,1,DEN,0.419,0.506,0.231,0.35,18,10,30,14,86,38,85,31,11,11,105.42860597267565,116.06819006166124,1.8,2.142857142857143,103.3875,16,18
104,98,0,BRK,0.423,0.43,0.304,0.158,14,15,21,15,78,40,93,20,5,14,106.39386189258312,100.25575447570331,0.9333333333333332,1.4,97.75,16,7
95,99,0,NYK,0.383,0.393,0.333,0.333,19,9,22,9,94,23,84,29,12,10,91.03977000479158,94.87302347867754,2.1111111111111107,2.4444444444444446,104.35,16,12
88,101,0,MIA,0.442,0.452,0.5,0.25,21,17,23,10,77,12,84,27,5,15,98.0364851691965,112.5191477510096,1.2352941176470589,2.3,89.7625,16,5
99,101,0,ORL,0.494,0.4,0.318,0.464,25,13,22,8,79,18,100,12,7,23,121.2863705972435,123.73660030627873,1.9230769230769231,2.75,81.625,16,8
82,90,0,DAL,0.33,0.366,0.333,0.259,18,20,19,15,88,18,82,29,15,7,77.60558381639655,85.17686028628889,0.9,1.2666666666666666,105.6625,16,22
97,85,1,DET,0.413,0.365,0.316,0.259,24,16,16,10,75,39,96,15,7,12,106.21407062688202,93.074185600876,1.5,1.6,91.325,16,13
101,120,0,PHO,0.481,0.484,0.45,0.3670000000000001,12,16,23,10,77,20,93,25,7,18,114.52870304748406,136.07370659107016,0.75,2.3,88.1875,16,25
91,102,1,TOR,0.455,0.436,0.32,0.455,21,15,21,12,77,17,78,24,9,12,101.40688118122299,113.6648558295027,1.4,1.75,89.73750000000003,16,2
93,107,1,POR,0.364,0.494,0.333,0.32,17,10,27,10,88,27,87,17,15,7,95.43355566957413,109.79989738327349,1.7,2.7,97.45,16,23
77,111,0,GSW,0.373,0.489,0.14300000000000002,0.343,16,14,32,8,83,16,92,15,8,12,84.2796552195923,121.49404843343822,1.1428571428571428,4.0,91.3625,16,30
96,108,0,POR,0.439,0.487,0.304,0.4,20,9,24,16,82,23,78,26,6,12,98.82897953931284,111.18260198172692,2.2222222222222223,1.5,97.1375,16,23
103,107,1,IND,0.384,0.41,0.333,0.333,17,10,17,15,99,22,83,37,15,9,90.73890540689352,94.26274639356899,1.7,1.1333333333333333,113.5125,16,4
91,103,0,PHI,0.371,0.468,0.235,0.438,15,11,28,15,89,24,79,23,12,10,89.07377951792488,100.81977242138753,1.3636363636363635,1.8666666666666667,102.1625,16,6
108,104,0,WAS,0.4270000000000001,0.468,0.32,0.333,17,16,24,23,96,20,79,31,16,8,93.41550437885175,89.95567088333874,1.0625,1.0434782608695652,115.6125,16,10
87,100,0,ATL,0.3720000000000001,0.5,0.481,0.385,19,16,24,17,86,13,74,20,15,9,88.470827507309,101.69060633024023,1.1875,1.4117647058823528,98.3375,16,14
91,111,0,DET,0.4,0.441,0.278,0.375,12,15,20,16,80,29,93,26,8,17,94.72999349381914,115.5497722836695,0.8,1.25,96.0625,16,13
93,102,0,TOR,0.41,0.459,0.368,0.36,14,15,18,7,83,20,74,32,14,8,97.53539590980598,106.97430519140013,0.9333333333333332,2.571428571428572,95.35,16,2
122,123,0,MIN,0.516,0.495,0.391,0.368,19,9,30,14,93,27,93,31,9,14,114.25895574806835,115.19550456567549,2.1111111111111107,2.142857142857143,106.775,16,29
87,109,0,SAS,0.409,0.537,0.36,0.429,20,15,26,13,88,10,82,25,9,11,86.72897196261681,108.66043613707164,1.3333333333333333,2.0,100.3125,16,26
97,126,0,HOU,0.398,0.522,0.313,0.455,21,19,32,16,88,20,90,28,11,15,93.3589990375361,121.27045235803658,1.1052631578947372,2.0,103.9,16,19
113,95,1,MIL,0.461,0.471,0.37,0.308,26,14,23,11,89,25,85,20,18,12,116.27009646302251,97.74919614147909,1.8571428571428568,2.090909090909091,97.1875,16,1
87,107,1,HOU,0.429,0.386,0.208,0.387,22,14,22,13,84,18,88,42,13,23,92.8,114.13333333333333,1.5714285714285714,1.6923076923076923,93.75,16,19
78,118,0,OKC,0.349,0.5479999999999999,0.28600000000000003,0.474,14,14,28,15,86,17,84,25,8,12,77.6312515551132,117.4421497885046,1.0,1.8666666666666667,100.475,16,20
111,107,0,DEN,0.476,0.456,0.269,0.36,17,11,26,12,84,32,90,19,11,13,116.09360700745195,111.91005360177799,1.5454545454545454,2.1666666666666665,95.6125,16,18
85,120,1,OKC,0.36,0.537,0.28,0.263,19,10,23,15,89,22,95,17,12,19,89.22713554651621,125.9677207715523,1.9,1.5333333333333334,95.2625,16,20
84,94,1,LAC,0.416,0.447,0.304,0.385,17,15,22,16,77,25,85,11,6,8,89.31419457735248,99.94683678894205,1.1333333333333333,1.375,94.05,16,17
96,112,0,MEM,0.381,0.563,0.276,0.375,16,13,30,10,84,32,80,22,18,7,100.18262457605007,116.87972867205843,1.2307692307692308,3.0,95.825,16,24
98,108,0,CHO,0.412,0.483,0.31,0.24,24,11,28,10,85,23,89,22,6,7,98.30721003134796,108.33855799373042,2.1818181818181817,2.8,99.6875,16,9
112,104,0,BOS,0.457,0.4320000000000001,0.474,0.259,22,10,23,10,94,23,88,25,13,9,107.27969348659005,99.61685823754787,2.2,2.3,104.4,16,3
93,84,1,PHI,0.379,0.369,0.313,0.16699999999999998,17,10,21,16,87,29,84,25,13,13,93.16303531179564,84.14725770097671,1.7,1.3125,99.825,16,6
97,77,1,PHO,0.452,0.36,0.364,0.222,26,15,16,14,84,17,89,9,9,9,101.38489678599424,80.48079435589234,1.7333333333333334,1.1428571428571428,95.675,16,25
88,109,1,GSW,0.319,0.465,0.238,0.419,15,12,26,10,91,30,86,21,15,10,86.60351826792963,107.27026694550376,1.25,2.6,101.6125,16,30
115,118,0,SAC,0.539,0.5529999999999999,0.333,0.28600000000000003,20,18,32,15,76,29,85,27,6,10,117.58691206543965,120.65439672801634,1.1111111111111112,2.1333333333333333,97.8,16,27
113,117,1,OKC,0.476,0.506,0.34600000000000003,0.294,19,11,17,13,84,25,89,26,10,16,118.80667630437641,123.01222236824812,1.7272727272727273,1.3076923076923077,95.1125,16,20
74,86,1,UTA,0.326,0.449,0.14300000000000002,0.313,15,11,16,14,89,15,69,25,16,6,74.0,86.0,1.3636363636363635,1.1428571428571428,100.0,16,21
95,91,1,NOP,0.368,0.418,0.207,0.261,16,8,20,11,87,32,91,14,11,12,99.03570497784727,94.86578055772738,2.0,1.818181818181818,95.925,16,28
98,116,0,GSW,0.444,0.5,0.174,0.394,17,21,26,19,90,24,86,20,16,12,92.0620009394082,108.97134805072805,0.8095238095238095,1.368421052631579,106.45,16,30
82,109,0,UTA,0.344,0.494,0.391,0.5,16,14,17,10,90,18,83,18,16,11,84.4925296239052,112.31324059763008,1.1428571428571428,1.7,97.05,16,21
95,112,1,HOU,0.451,0.484,0.316,0.28600000000000003,25,14,21,13,82,19,91,24,3,11,96.23907813093581,113.46080790173481,1.7857142857142858,1.6153846153846154,98.7125,16,19
93,112,1,SAC,0.35600000000000004,0.483,0.16,0.3,17,9,28,14,90,31,89,28,12,15,91.16529837029776,109.79046685455215,1.8888888888888888,2.0,102.0125,16,27
95,108,1,SAS,0.452,0.506,0.375,0.524,19,11,26,6,84,18,85,13,12,7,105.13210679208744,119.51860561626782,1.7272727272727273,4.333333333333333,90.3625,16,26
103,121,0,POR,0.493,0.505,0.412,0.32299999999999995,14,18,26,8,69,32,93,22,4,14,120.0116516166618,140.9845616079231,0.7777777777777778,3.25,85.825,16,23
90,92,1,DAL,0.405,0.434,0.28,0.24,15,12,21,6,74,28,76,26,8,5,100.75566750629726,102.9946823397705,1.25,3.5,89.32499999999997,16,22
91,114,1,CHI,0.376,0.495,0.36,0.353,21,14,29,10,85,23,95,16,11,12,96.02954755309328,120.30075187969926,1.5,2.9,94.7625,16,11
93,105,0,LAC,0.436,0.494,0.385,0.308,19,17,20,8,78,25,81,24,11,5,98.79166113397957,111.53897224804143,1.1176470588235294,2.5,94.1375,16,17
82,101,1,CHO,0.338,0.375,0.276,0.361,13,15,28,10,80,23,96,26,4,14,86.19103928524505,106.16213375377745,0.8666666666666667,2.8,95.1375,16,9
119,115,1,MIN,0.5,0.575,0.462,0.235,23,9,36,15,80,35,80,25,7,8,120.50632911392404,116.45569620253164,2.555555555555556,2.4,98.75,16,29
99,96,0,NOP,0.481,0.459,0.35,0.2,14,16,16,7,81,20,85,26,9,7,103.74639769452448,100.6025674613571,0.875,2.2857142857142856,95.425,16,28
102,106,0,SAS,0.395,0.443,0.333,0.333,19,8,27,10,86,27,88,25,13,15,109.26620246384577,113.551151580075,2.375,2.7,93.35,16,26
87,89,0,IND,0.312,0.397,0.229,0.14800000000000002,13,12,13,16,93,26,78,33,14,8,79.0819225088058,80.89989773889332,1.0833333333333333,0.8125,110.0125,16,4
111,120,0,CLE,0.442,0.511,0.464,0.419,16,11,26,6,86,27,94,18,11,13,119.11468812877264,128.77263581488933,1.4545454545454546,4.333333333333333,93.1875,16,15
113,119,1,SAS,0.494,0.545,0.455,0.5,20,15,30,10,81,26,88,18,12,13,123.56478950246037,130.1257517769273,1.3333333333333333,3.0,91.45,16,26
115,126,0,CHI,0.462,0.557,0.333,0.684,13,7,30,8,93,33,79,26,17,8,112.73128293101337,123.51427521137116,1.8571428571428568,3.75,102.0125,16,11
101,108,0,MIL,0.368,0.512,0.414,0.313,18,17,32,8,76,43,86,25,11,7,105.59330893883951,112.91165708311551,1.0588235294117647,4.0,95.65,16,1
119,128,0,MEM,0.443,0.565,0.436,0.481,16,7,26,9,88,33,85,29,15,9,120.53684477082807,129.6530767282857,2.2857142857142856,2.888888888888889,98.725,16,24
95,112,1,MEM,0.41,0.506,0.217,0.406,14,7,24,13,78,39,85,15,11,10,105.17575422086911,123.99667866039302,2.0,1.8461538461538465,90.325,16,24
107,101,1,BRK,0.494,0.438,0.423,0.278,22,13,28,7,83,21,89,27,8,11,112.75026343519492,106.42781875658586,1.6923076923076923,4.0,94.9,16,7
107,117,0,DEN,0.443,0.487,0.355,0.522,19,6,22,11,79,32,78,38,6,7,109.60307298335468,119.84635083226635,3.1666666666666665,2.0,97.625,16,18
77,106,1,ATL,0.341,0.544,0.185,0.464,19,10,31,10,85,20,68,26,17,3,80.2710450873078,110.50299713317698,1.9,3.1,95.925,16,14
112,95,1,GSW,0.471,0.402,0.36,0.133,23,11,32,20,87,22,92,21,9,17,112.32292841920521,95.27391249843299,2.090909090909091,1.6,99.7125,16,30
107,98,1,ORL,0.494,0.487,0.333,0.263,21,15,19,10,81,23,76,27,10,4,108.76747141041932,99.61880559085135,1.4,1.9,98.375,16,8
108,120,1,CLE,0.525,0.529,0.318,0.457,18,10,22,8,80,21,85,20,4,9,117.08903645480416,130.09892939422687,1.8,2.75,92.2375,16,15
87,90,1,NYK,0.4,0.44,0.188,0.238,14,9,19,10,85,21,75,27,10,5,88.41463414634146,91.4634146341463,1.5555555555555556,1.9,98.4,16,12
98,106,1,SAC,0.44,0.481,0.192,0.222,20,22,26,16,84,26,79,33,10,5,89.48750142677777,96.79260358406574,0.9090909090909092,1.625,109.5125,16,27
90,95,1,PHO,0.36,0.36,0.261,0.267,21,12,19,11,86,26,89,26,12,17,94.38909281594128,99.63293130571579,1.75,1.7272727272727273,95.35,16,25
107,100,1,MEM,0.506,0.5,0.316,0.267,21,20,23,20,77,24,80,23,11,13,111.26998570128691,103.99064084232418,1.05,1.15,96.1625,16,24
107,119,0,PHO,0.419,0.505,0.259,0.464,13,10,31,13,93,26,93,20,14,15,106.01932127817686,117.9093386177855,1.3,2.3846153846153846,100.925,16,25
105,116,1,DEN,0.435,0.479,0.435,0.385,23,11,31,9,85,26,94,24,7,13,108.38709677419355,119.74193548387099,2.090909090909091,3.4444444444444446,96.875,16,18
88,101,1,WAS,0.379,0.542,0.25,0.389,15,18,23,18,87,17,72,29,12,6,82.30067804535891,94.45873275660507,0.8333333333333334,1.2777777777777777,106.925,16,10
75,123,0,UTA,0.306,0.517,0.35,0.531,11,9,26,7,85,22,89,19,7,13,80.87343307723411,132.63243024666394,1.2222222222222223,3.7142857142857135,92.7375,16,21
102,100,1,MIA,0.363,0.477,0.3,0.17600000000000002,14,9,26,17,102,29,86,26,19,14,91.42857142857143,89.6358543417367,1.5555555555555556,1.5294117647058822,111.5625,16,5
100,107,1,BOS,0.411,0.451,0.28600000000000003,0.267,22,11,30,12,90,29,91,22,11,9,96.51345156231147,103.2693931716733,2.0,2.5,103.6125,16,3
81,103,0,LAC,0.313,0.513,0.3,0.35,11,15,26,13,83,25,78,26,14,6,81.72531214528944,103.92231050573842,0.7333333333333333,2.0,99.1125,16,17
81,91,1,LAC,0.35600000000000004,0.446,0.211,0.28,12,12,23,10,90,17,83,14,16,10,84.9390483680692,95.42535063573206,1.0,2.3,95.3625,16,17
102,110,0,NOP,0.42,0.532,0.458,0.455,18,13,29,16,81,27,79,21,10,9,104.72279260780287,112.93634496919918,1.3846153846153846,1.8125,97.4,16,28
110,130,0,HOU,0.494,0.51,0.429,0.415,25,18,30,13,83,19,98,18,7,16,114.83753099308365,135.71708208273523,1.3888888888888888,2.3076923076923075,95.7875,16,19
79,112,0,OKC,0.284,0.438,0.226,0.324,15,15,27,11,81,30,96,27,10,13,82.2595340361838,116.62111154496941,1.0,2.4545454545454546,96.0375,16,20
101,96,1,UTA,0.482,0.47,0.24,0.3,19,13,27,13,85,15,83,15,8,8,103.989703989704,98.84169884169884,1.4615384615384617,2.0769230769230766,97.125,16,21
120,114,1,HOU,0.506,0.512,0.343,0.241,21,15,29,14,89,22,86,27,11,10,114.68163899175724,108.94755704216938,1.4,2.071428571428572,104.6375,16,19
89,96,0,UTA,0.381,0.413,0.391,0.24,16,14,14,14,84,21,75,40,11,13,88.56822987933823,95.53427043164572,1.1428571428571428,1.0,100.4875,16,21
96,113,0,OKC,0.402,0.474,0.219,0.34600000000000003,20,21,29,19,87,24,95,17,11,10,90.36357218496292,106.36545475938343,0.9523809523809524,1.5263157894736843,106.2375,16,20
108,115,0,IND,0.449,0.471,0.214,0.35700000000000004,14,19,19,15,89,25,87,29,11,11,100.16230002318571,106.65430095061441,0.7368421052631579,1.2666666666666666,107.825,16,4
123,116,0,ATL,0.5329999999999999,0.482,0.409,0.344,24,15,30,18,90,20,85,29,11,10,114.27244222506096,107.76913250493556,1.6,1.6666666666666667,107.6375,16,14
117,97,1,GSW,0.474,0.453,0.267,0.156,26,16,26,20,95,21,86,20,16,9,106.13448236761538,87.99183580904865,1.625,1.3,110.2375,16,30
119,108,1,PHO,0.456,0.44,0.435,0.3,22,19,20,17,90,35,91,28,15,11,108.2187109241787,98.21530067068319,1.1578947368421053,1.1764705882352942,109.9625,16,25
97,109,1,DAL,0.487,0.524,0.385,0.435,20,16,24,11,78,14,82,15,8,8,107.31572396625641,120.59189600331905,1.25,2.1818181818181817,90.3875,16,22
101,91,0,SAC,0.514,0.4,0.333,0.381,18,21,18,15,74,22,85,20,4,11,106.90658904472085,96.3217782482138,0.8571428571428571,1.2,94.475,16,27
126,99,0,NOP,0.5529999999999999,0.433,0.5329999999999999,0.3,36,10,20,10,94,7,90,19,10,12,127.0481472145198,99.82354423997982,3.6,2.0,99.175,16,28
99,125,0,MIN,0.465,0.525,0.333,0.481,16,17,28,10,71,30,80,42,5,9,104.65116279069768,132.13530655391122,0.9411764705882352,2.8,94.6,16,29
125,118,1,BRK,0.446,0.455,0.321,0.293,24,11,23,14,92,43,99,20,14,9,115.78094245687159,109.29720967928678,2.1818181818181817,1.6428571428571428,107.9625,16,7
107,116,1,SAS,0.448,0.564,0.48,0.417,24,13,30,12,87,21,78,19,15,3,107.0,116.0,1.8461538461538465,2.5,100.0,16,26
110,118,1,CHI,0.441,0.517,0.419,0.364,26,10,27,16,93,21,87,28,10,16,105.12483574244415,112.77027834189465,2.6,1.6875,104.6375,16,11
111,109,1,OKC,0.506,0.489,0.519,0.407,25,17,29,15,83,16,92,11,6,11,114.53630852573198,112.47259125499805,1.4705882352941178,1.9333333333333331,96.9125,16,20
106,149,0,GSW,0.43,0.616,0.4,0.528,22,11,47,10,93,22,86,35,7,6,95.89505823815449,134.79588374985866,2.0,4.7,110.5375,16,30
85,109,1,GSW,0.35600000000000004,0.518,0.227,0.393,20,18,31,17,90,23,83,17,14,4,78.7037037037037,100.92592592592592,1.1111111111111112,1.8235294117647056,108.0,16,30
109,94,1,ATL,0.442,0.443,0.4,0.343,20,9,25,12,95,20,88,10,15,7,107.25707257072571,92.49692496924969,2.2222222222222223,2.083333333333333,101.625,16,14
88,105,0,NOP,0.425,0.4320000000000001,0.16699999999999998,0.258,26,12,24,8,87,18,88,25,9,13,91.46420683383137,109.13342860854877,2.1666666666666665,3.0,96.2125,16,28
96,90,0,CHI,0.407,0.35200000000000004,0.25,0.19,17,23,22,14,81,41,91,29,18,14,95.88014981273407,89.88764044943821,0.7391304347826086,1.5714285714285714,100.125,16,11
80,113,0,TOR,0.344,0.542,0.231,0.414,16,16,25,10,93,17,83,13,19,7,79.90012484394506,112.85892634207244,1.0,2.5,100.125,16,2
100,103,0,MEM,0.4320000000000001,0.466,0.333,0.333,16,18,32,11,81,29,88,15,14,14,108.75475802066342,112.0174007612833,0.8888888888888888,2.9090909090909087,91.95,16,24
101,107,1,UTA,0.448,0.475,0.35700000000000004,0.406,15,10,26,12,87,23,80,29,15,11,103.74935798664612,109.91268618387262,1.5,2.1666666666666665,97.35,16,21
95,134,0,HOU,0.391,0.5429999999999999,0.25,0.417,14,27,35,20,87,27,94,21,14,15,88.45437616387336,124.76722532588455,0.5185185185185185,1.75,107.4,16,19
115,119,1,PHO,0.46,0.474,0.34600000000000003,0.433,18,15,26,7,87,34,95,21,10,9,113.23076923076924,117.16923076923077,1.2,3.7142857142857135,101.5625,16,25
112,118,1,NYK,0.477,0.488,0.35700000000000004,0.455,26,14,21,10,88,22,84,31,9,8,107.60177735078659,113.366158280293,1.8571428571428568,2.1,104.0875,16,12
92,116,0,SAC,0.393,0.56,0.435,0.435,18,19,23,21,84,21,84,21,17,13,92.95276584996212,117.20131346299571,0.9473684210526316,1.0952380952380951,98.975,16,27
